gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
923922572	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/947002/original.jpg	https://www.inaturalist.org/photos/947002					2014-06-13T23:27:47Z	Killarney Provincial Park		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Killarney Provincial Park
923911332	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/638896/original.jpg	https://www.inaturalist.org/photos/638896					2014-01-15T12:30:13Z	Susan Elliott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Susan Elliott
923909608	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/367675/original.jpg	https://www.inaturalist.org/photos/367675					2013-06-02T12:58:05Z	Sean Frey		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Sean Frey
891720690	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/437400/original.JPG	https://www.inaturalist.org/photos/437400					2008-10-26T15:05:59Z	Kevin Gagel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kevin Gagel
891720690	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/437401/original.JPG	https://www.inaturalist.org/photos/437401					2008-10-26T15:12:58Z	Kevin Gagel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kevin Gagel
891712998	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/410946/original.jpg	https://www.inaturalist.org/photos/410946					2013-07-10T15:49:31Z	Sean Frey		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Sean Frey
891099999	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185204/original.JPG	https://www.inaturalist.org/photos/185204					2011-08-17T00:00:00Z	Sterling Sheehy		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Sterling Sheehy
891092862	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/159282/original.JPG	https://www.inaturalist.org/photos/159282					2012-08-07T00:00:00Z	Bob Dodge		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bob Dodge
891086406	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/137242/original.jpg	https://www.inaturalist.org/photos/137242					2012-06-03T00:31:02Z	Sean Frey		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Sean Frey
891052122	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/693752/original.jpg	https://www.inaturalist.org/photos/693752					2014-02-26T17:01:46Z	Marv Elliott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marv Elliott
891051737	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/691747/original.jpg	https://www.inaturalist.org/photos/691747					2014-02-25T19:54:21Z	Marv Elliott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marv Elliott
476848461	StillImage	image/png	https://iiif.mcz.harvard.edu/iiif/3/3861337/full/max/0/default.png		MCZ:Mamm:BOM-7365 Ursus americanus americanus	measurements						Museum of Comparative Zoology, Harvard University	http://creativecommons.org/licenses/by-nc-sa/3.0/	© President and Fellows of Harvard College
476833825	StillImage	image/png	https://iiif.mcz.harvard.edu/iiif/3/3861337/full/max/0/default.png		MCZ:Mamm:BANGS-7411 Ursus americanus americanus	measurements						Museum of Comparative Zoology, Harvard University	http://creativecommons.org/licenses/by-nc-sa/3.0/	© President and Fellows of Harvard College
4607635511	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/362654129/original.jpeg	https://www.inaturalist.org/photos/362654129					2024-03-26T14:15:21Z	swanpotatoe		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	swanpotatoe
4607630213	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/363962106/original.jpeg	https://www.inaturalist.org/photos/363962106					2021-08-29T16:39:53Z	Paul Foth		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paul Foth
4607621132	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/362652280/original.jpg	https://www.inaturalist.org/photos/362652280					2024-03-30T17:12:16Z	Shawn Brescia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Shawn Brescia
4607556744	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/361390667/original.jpg	https://www.inaturalist.org/photos/361390667					2024-03-29T19:46:10Z	Derek Armstrong		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Derek Armstrong
4607556744	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/361388847/original.jpg	https://www.inaturalist.org/photos/361388847					2024-03-29T19:46:10Z	Derek Armstrong		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Derek Armstrong
4607532653	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/364296981/original.jpeg	https://www.inaturalist.org/photos/364296981					2024-04-07T21:36:19Z	Terry M		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Terry M
4607532653	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/364297013/original.jpeg	https://www.inaturalist.org/photos/364297013					2024-04-07T21:15:00Z	Terry M		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Terry M
4607532653	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/364296953/original.jpeg	https://www.inaturalist.org/photos/364296953					2024-04-07T21:37:05Z	Terry M		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Terry M
4607532653	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/364297037/original.jpeg	https://www.inaturalist.org/photos/364297037					2024-04-07T21:28:15Z	Terry M		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Terry M
4607512435	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/365078474/original.jpeg	https://www.inaturalist.org/photos/365078474					2024-04-10T16:34:37Z	Rob Vanderkam		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rob Vanderkam
4607511458	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/363564347/original.jpg	https://www.inaturalist.org/photos/363564347					2024-04-05T22:55:14Z	Vanessa Hum		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Vanessa Hum
4607510293	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/364354178/original.jpeg	https://www.inaturalist.org/photos/364354178					2024-04-05T00:35:48Z	Chris Coxson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chris Coxson
4607500455	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/360780298/original.jpg	https://www.inaturalist.org/photos/360780298					2023-09-29T00:31:34Z	gr43dyn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gr43dyn
4607500455	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/360781091/original.jpg	https://www.inaturalist.org/photos/360781091					2023-09-29T00:31:34Z	gr43dyn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gr43dyn
4607500455	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/360780401/original.jpg	https://www.inaturalist.org/photos/360780401					2023-09-29T00:31:34Z	gr43dyn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gr43dyn
4607500455	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/360781152/original.jpg	https://www.inaturalist.org/photos/360781152					2023-09-29T00:31:34Z	gr43dyn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gr43dyn
4607443748	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/362749415/original.jpeg	https://www.inaturalist.org/photos/362749415					2024-03-30T18:12:23Z	Jack Bindernagel		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Jack Bindernagel
4607443748	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/362749382/original.jpeg	https://www.inaturalist.org/photos/362749382					2024-03-30T18:11:53Z	Jack Bindernagel		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Jack Bindernagel
